,Player,Tm,Pos,Age,MP,Team Performance,Team Performance (20),Season,Composite,ORtg,DRtg
1214,Malik Monk,SAC,SG,24,1719,Average,Average,2022-2023,0.21490231712857785,114.0,118.0
1215,Davion Mitchell,SAC,PG,24,1447,Average,Average,2022-2023,0.11540208995910947,111.0,119.0
1216,Terry Porter,SAS,PG,36,1613,Average,top,1999-2000,0.2272222222222222,114.0,101.0
1217,Jaren Jackson,SAS,SG,32,1691,Average,top,1999-2000,0.10611111111111111,101.0,102.0
1218,Antonio Daniels,SAS,PG,25,2060,top,top,2000-2001,0.19243070362473347,113.0,102.0
1219,Danny Ferry,SAS,SF,34,1688,top,top,2000-2001,0.1108742004264392,112.0,102.0
1220,Antonio Daniels,SAS,SG,26,2175,top,top,2001-2002,0.17461197339246118,113.0,104.0
1221,Malik Rose,SAS,PF,27,1725,top,top,2001-2002,0.19733924611973386,100.0,97.0
1222,Malik Rose,SAS,PF,28,1933,top,top,2002-2003,0.21556195965417876,102.0,98.0
1223,Manu Ginóbili*,SAS,SG,25,1431,top,top,2002-2003,0.1579250720461096,106.0,98.0
1224,Manu Ginóbili*,SAS,SG,26,2260,top,top,2003-2004,0.2439024390243903,107.0,93.0
1225,Robert Horry,SAS,PF,33,1290,top,top,2003-2004,0.15764425936942295,107.0,93.0
1226,Brent Barry,SAS,SG,33,1742,top,top,2004-2005,0.18257956448911225,119.0,102.0
1227,Robert Horry,SAS,PF,34,1396,top,top,2004-2005,0.1730876605248465,108.0,96.0
1228,Michael Finley,SAS,SG,32,2038,top,top,2005-2006,0.17270194986072426,107.0,103.0
1229,Nazr Mohammed,SAS,C,28,1389,top,top,2005-2006,0.16768802228412263,109.0,98.0
1230,Manu Ginóbili*,SAS,SG,29,2060,top,top,2006-2007,0.2976501305483028,117.0,98.0
1231,Michael Finley,SAS,SF,33,1823,top,top,2006-2007,0.17597911227154045,108.0,103.0
