Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
253,Antonio McDyess,PF,26,DEN,70,70,2555,11.7,23.6,.495,0.0,0.0,,11.7,23.6,.495,6.2,8.8,.700,4.9,12.3,17.1,3.0,0.9,2.1,3.3,4.5,29.6,,107,103,mcdyean01
254,Tracy McGrady*,SG,21,ORL,77,77,3087,13.2,28.8,.457,1.0,2.8,.355,12.2,26.0,.468,7.2,9.8,.733,3.2,6.5,9.7,5.9,1.9,2.0,3.3,2.7,34.5,,109,101,mcgratr01
255,Jim McIlvaine,C,28,NJN,18,3,193,2.7,7.6,.357,0.0,0.0,,2.7,7.6,.357,2.2,3.2,.667,2.2,7.3,9.5,1.1,1.9,4.1,2.4,9.5,7.6,,81,101,mcilvji01
256,Jeff McInnis,PG,26,LAC,81,81,2831,8.2,17.6,.463,1.0,2.7,.361,7.2,14.9,.482,2.5,3.0,.807,0.8,3.4,4.2,8.5,1.4,0.1,2.1,3.8,19.8,,112,108,mcinnje01
257,Derrick McKey,SF,34,IND,66,20,987,3.3,7.4,.441,0.2,1.1,.200,3.0,6.3,.483,1.1,1.5,.778,2.7,6.9,9.6,4.0,2.6,0.7,2.6,7.4,7.9,,97,101,mckeyde01
258,Aaron McKie,SG,28,PHI,76,33,2394,7.5,15.8,.473,1.2,3.8,.312,6.3,12.0,.524,3.3,4.3,.768,0.7,6.2,6.9,8.3,2.3,0.2,4.5,3.9,19.4,,103,100,mckieaa01
259,Roshown McLeod,SF,25,TOT,35,25,922,8.2,18.8,.437,0.1,1.2,.091,8.1,17.6,.461,2.5,2.9,.882,2.2,4.6,6.8,3.3,1.3,0.5,3.3,5.1,19.1,,94,107,mcleoro01
259,Roshown McLeod,SF,25,ATL,34,25,907,8.3,19.0,.436,0.1,1.2,.095,8.2,17.8,.460,2.6,2.9,.882,2.1,4.7,6.8,3.3,1.3,0.5,3.3,5.1,19.3,,94,107,mcleoro01
259,Roshown McLeod,SF,25,PHI,1,0,15,3.5,7.1,.500,0.0,3.5,.000,3.5,3.5,1.000,0.0,0.0,,3.5,3.5,7.1,0.0,0.0,0.0,3.5,7.1,7.1,,78,106,mcleoro01
260,Paul McPherson,PG,22,TOT,55,0,595,9.4,18.6,.505,0.2,1.0,.167,9.2,17.6,.525,3.6,5.0,.724,3.4,3.4,6.8,3.3,2.2,0.3,4.1,6.9,22.6,,100,105,mcphepa01
