Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
130,Jeff Foster,C,30,IND,75,43,1740,3.6,7.8,.469,0.0,0.0,.000,3.6,7.7,.471,2.3,3.6,.639,7.5,10.6,18.2,1.7,1.9,1.1,2.1,6.0,9.6,,113,102,fosteje01
131,Randy Foye,PG,23,MIN,82,12,1879,8.4,19.4,.434,1.9,5.2,.368,6.5,14.2,.458,4.6,5.4,.854,1.4,4.7,6.1,6.5,1.5,0.6,4.3,5.2,23.4,,102,109,foyera01
132,Adonal Foyle,C,31,GSW,48,6,475,4.9,8.7,.565,0.0,0.0,,4.9,8.7,.565,1.1,2.5,.440,5.2,7.6,12.8,1.9,1.1,5.1,2.3,6.2,10.9,,110,104,foylead01
133,Steve Francis,SG,29,NYK,44,30,1237,6.0,14.7,.408,1.8,4.7,.378,4.2,9.9,.422,7.5,9.0,.829,1.4,5.3,6.7,7.3,1.8,0.5,4.3,5.4,21.3,,111,109,francst01
134,Matt Freije,PF,25,ATL,19,0,147,5.8,19.6,.296,1.1,8.0,.136,4.7,11.6,.406,1.8,2.2,.833,2.9,5.8,8.7,2.5,1.1,0.4,1.1,4.7,14.5,,86,111,freijma01
135,Channing Frye,PF,23,NYK,72,59,1896,8.3,19.2,.433,0.1,0.5,.167,8.2,18.7,.440,2.4,3.0,.787,2.5,8.5,11.0,1.9,1.0,1.2,2.8,6.0,19.1,,95,108,fryech01
136,Dan Gadzuric,C,28,MIL,54,8,840,6.7,14.1,.474,0.0,0.1,.000,6.7,14.0,.476,2.6,5.6,.467,5.8,9.4,15.2,1.8,1.4,2.0,3.0,8.7,16.0,,99,108,gadzuda01
137,Jorge Garbajosa,PF,29,TOR,67,60,1909,6.0,14.4,.420,1.8,5.2,.342,4.2,9.1,.464,1.5,2.1,.731,1.3,7.7,9.0,3.4,2.1,0.4,1.7,2.4,15.4,,101,105,garbajo01
138,Francisco García,SF,25,SAC,79,5,1410,5.9,13.6,.429,1.9,5.4,.356,4.0,8.3,.476,3.4,4.1,.833,1.9,5.5,7.4,3.1,1.6,1.5,2.5,6.8,17.0,,106,108,garcifr01
139,Kevin Garnett*,PF,30,MIN,76,76,2995,11.2,23.6,.476,0.2,1.0,.214,11.0,22.6,.487,7.3,8.8,.835,3.2,14.0,17.2,5.5,1.6,2.2,3.6,3.2,30.0,,110,101,garneke01
